date,tic,open,high,low,close,volume,day,kdjk,kdjd,kdjj,rsi_6,rsi_12,rsi_24,amount,change,daily_variance,open_,close_,high_,low_,volume_,landmark
2015-01-19,600122.SH,6.471,6.6496,6.1931,6.3221,336776.17,1655,25.4152,28.7456,18.7544,20.8667,33.0051,42.9771,2129132.6244,-0.0236,0.0722,-0.9569,-2.0296,-0.6646,-2.2732,2.8011,v
2015-01-20,600122.SH,6.3519,6.6099,6.3519,6.6,185447.15,1656,30.342,29.2778,32.4705,40.4096,42.4447,47.316,1223951.19,0.0376,0.0391,-1.3074,-0.4281,-0.8109,-1.0649,0.6186,-
2015-01-21,600122.SH,6.6,6.8978,6.5702,6.7687,239459.29,1657,43.5184,34.0247,62.506,49.4955,47.3568,49.7386,1620828.0962,0.0249,0.0484,-0.4166,0.0506,0.1538,-0.3255,0.1838,-
2015-01-22,600122.SH,6.7787,6.8184,6.7092,6.7787,140860.12,1658,55.5918,41.2137,84.348,50.0374,47.6458,49.8811,954848.4954,0.0,0.0161,-0.0529,-0.0599,-0.2009,-0.0182,-0.3452,^
2015-01-23,600122.SH,6.7886,6.8481,6.6993,6.7191,169833.41,1659,60.9356,47.7877,87.2314,46.4714,46.0041,49.0165,1141127.6651,-0.0103,0.0221,-0.1285,-0.297,-0.2182,-0.1481,-0.2726,-
2015-01-26,600122.SH,6.7191,6.868,6.6596,6.8481,206494.76,1660,70.3532,55.3095,100.4406,54.8321,50.0666,50.9372,1414096.766,0.0188,0.0304,-0.3522,-0.1251,-0.2809,-0.3257,-0.2277,-
2015-01-27,600122.SH,6.8283,6.9176,6.7588,6.868,202741.83,1661,77.5349,62.718,107.1686,56.1014,50.6909,51.2329,1392430.8884,0.0058,0.0231,-0.2281,-0.1661,-0.2743,-0.2013,-0.2762,-
2015-01-28,600122.SH,6.8481,6.8978,6.7985,6.8382,190340.02,1662,80.97,68.802,105.3061,53.4046,49.6763,50.7549,1301583.1248,-0.0014,0.0145,-0.2661,-0.3006,-0.3836,-0.1986,-0.3468,-
2015-01-29,600122.SH,6.7787,6.8184,6.7191,6.7489,123245.53,1663,79.5517,72.3852,93.8846,45.5337,46.6253,49.316,831771.7574,-0.0044,0.0147,-0.4595,-0.5273,-0.5851,-0.4265,-0.6344,-
2015-01-30,600122.SH,6.7687,6.7886,6.5702,6.5802,166646.1,1664,66.4868,70.4191,58.6223,34.1304,41.3868,46.7059,1096564.6672,-0.0286,0.0332,-0.5526,-0.8633,-0.7062,-0.7555,-0.5215,-
2015-02-02,600122.SH,6.4511,6.5802,6.4214,6.4809,128050.08,1665,48.3216,63.0533,18.8583,29.0004,38.6019,45.2354,829879.7635,0.0046,0.0245,-1.1068,-1.1064,-1.0842,-1.0833,-0.7057,v
2015-02-03,600122.SH,6.5206,6.729,6.471,6.7092,166416.96,1666,51.548,59.2182,36.2077,49.8123,47.4678,49.0814,1116524.668,0.0281,0.0385,-1.1158,-0.875,-0.9863,-1.111,-0.6033,^
2015-02-04,600122.SH,6.6993,6.8084,6.5702,6.5901,152248.78,1667,45.6981,54.7115,27.6714,42.0889,43.8631,47.2741,1003334.6851,-0.0166,0.0361,-0.9672,-1.1363,-0.9755,-1.0641,-0.7192,-
2015-02-05,600122.SH,6.6496,6.6893,6.5107,6.5206,146942.34,1668,37.1294,48.8508,13.6866,37.9666,41.8405,46.2374,958152.2222,-0.0198,0.0274,-1.1329,-1.3503,-1.2385,-1.256,-0.7981,-
2015-02-06,600122.SH,6.5107,6.5702,6.4114,6.4412,122381.57,1669,26.7153,41.4723,-2.7988,33.4723,39.5666,45.0594,788284.1687,-0.0108,0.0247,-1.4487,-1.6005,-1.5314,-1.5349,-0.9545,-
2015-02-09,600122.SH,6.4114,6.4908,6.3817,6.4313,64917.67,1670,21.0137,34.6528,-6.2644,32.8898,39.2762,44.9106,417505.0111,0.0031,0.017,-1.7512,-1.7899,-1.8049,-1.7484,-1.2671,v
2015-02-10,600122.SH,6.4214,6.5107,6.4114,6.4611,83986.82,1671,20.0697,29.7917,0.6257,36.859,40.705,45.4764,542647.2427,0.0061,0.0154,-1.9456,-1.9648,-2.0094,-1.8931,-1.299,-
2015-02-11,600122.SH,6.4611,6.6199,6.4511,6.6099,101923.06,1672,31.2066,30.2633,33.093,53.3807,47.4415,48.2459,673701.2343,0.0225,0.0255,-2.1548,-2.0218,-2.157,-2.0629,-1.3521,-
2015-02-12,600122.SH,6.6099,6.7787,6.5702,6.6596,178740.46,1673,42.5136,34.3468,58.8473,57.8058,49.5307,49.1462,1190339.9674,0.0075,0.0313,-2.2777,-2.283,-2.2925,-2.2398,-1.1639,-
2015-02-13,600122.SH,6.6893,6.9077,6.6893,6.8184,248191.86,1674,56.0167,41.5701,84.9099,69.0647,55.6725,51.9339,1692271.3782,0.0189,0.032,-2.6149,-2.4827,-2.5573,-2.4817,-0.9307,-
2015-02-27,600122.SH,7.5032,7.5032,7.5032,7.5032,70137.96,1675,70.6778,51.2726,109.4881,87.0064,71.8106,61.4445,526259.1415,0.0,0.0,-1.5554,-1.5583,-1.8615,-1.2551,-1.8698,-
2015-03-02,600122.SH,7.92,7.92,7.5429,7.6818,1102823.81,1676,75.2903,59.2785,107.3139,89.0026,74.4565,63.4146,8471671.9437,-0.031,0.0491,-0.7917,-1.3453,-1.2096,-1.2752,3.2474,-
2015-03-03,600122.SH,7.6421,7.8902,7.4635,7.7414,705368.41,1677,79.6568,66.0713,106.8278,89.6399,75.3005,64.0542,5460539.0092,0.0128,0.0551,-1.4545,-1.3556,-1.3928,-1.5431,2.0149,^
2015-03-04,600122.SH,7.7017,7.7116,7.5627,7.6322,380738.31,1678,80.2015,70.7814,99.0419,79.5087,70.6357,61.9825,2905870.9296,-0.0091,0.0195,-1.4852,-1.7379,-1.9356,-1.5027,-0.4466,v
2015-03-05,600122.SH,7.6123,8.2872,7.5528,8.0292,832308.61,1679,82.2163,74.593,97.4629,86.2758,76.4273,66.1372,6682772.2914,0.0519,0.0915,-1.8603,-1.1044,-0.9216,-1.6971,3.5069,^
2015-03-06,600122.SH,7.9498,8.0292,7.7414,7.7612,402485.04,1680,78.595,75.927,83.9309,68.0667,66.7342,61.4098,3123766.8924,-0.0243,0.0371,-1.358,-1.603,-1.4579,-1.4897,-0.2552,v
2015-03-09,600122.SH,7.7811,8.0292,7.6421,7.9299,340370.88,1681,78.7935,76.8825,82.6154,72.4577,69.3993,63.1404,2699107.0413,0.0188,0.0488,-1.6159,-1.2483,-1.3334,-1.6293,-0.6692,-
2015-03-10,600122.SH,7.9399,8.2872,7.8902,8.1483,438380.26,1682,82.9648,78.9099,91.0744,77.3056,72.5097,65.2458,3572053.8726,0.0256,0.0487,-1.2832,-0.9881,-0.9982,-1.1789,-0.2684,^
2015-03-11,600122.SH,8.1582,8.2078,8.0193,8.0987,340236.66,1683,81.015,79.6116,83.8218,73.767,70.7286,64.3744,2755474.6383,-0.0073,0.0233,-1.026,-1.086,-1.1035,-1.0406,-0.7929,-
2015-03-12,600122.SH,8.0987,8.2773,7.8406,7.8902,374837.48,1684,71.2776,76.8336,60.1656,59.9294,63.5679,60.8119,2957542.6847,-0.0264,0.0553,-1.1429,-1.4077,-1.1161,-1.3394,-0.7104,v
2015-03-13,600122.SH,8.1185,8.188,7.9895,8.0391,299178.29,1685,70.8117,74.8263,62.7824,65.4789,66.2314,62.364,2405124.1911,-0.0099,0.0247,-1.2172,-1.3152,-1.266,-1.2735,-1.1467,-
2015-03-16,600122.SH,8.0887,8.4163,8.0887,8.3766,499615.87,1686,79.0086,76.2204,84.585,74.9246,71.4013,65.5876,4185082.2966,0.0344,0.0391,-1.2382,-1.0811,-1.1334,-1.1834,-0.3264,-
2015-03-17,600122.SH,8.4361,8.5056,8.2872,8.3766,414349.87,1687,81.4927,77.9778,88.5225,74.9246,71.4013,65.5876,3470843.121,-0.0071,0.0261,-1.0218,-1.1631,-1.1488,-1.0729,-0.7337,-
2015-03-18,600122.SH,8.3766,8.6048,8.3071,8.5651,396531.78,1688,86.2872,80.7476,97.3664,79.4475,74.0427,67.2914,3396334.3489,0.022,0.0348,-1.1569,-1.103,-1.146,-1.1433,-0.884,-
2015-03-19,600122.SH,8.5651,8.8926,8.4758,8.7438,443883.11,1689,86.8917,82.7957,95.0839,82.9467,76.306,68.8185,3881225.1372,0.0204,0.0477,-1.1092,-1.0368,-1.0196,-1.0918,-0.7538,-
2015-03-20,600122.SH,8.8132,8.9919,8.7438,8.8728,335410.79,1690,87.8129,84.4681,94.5025,85.1386,77.8284,69.8779,2976032.8575,0.0067,0.028,-0.9933,-1.0362,-1.0273,-0.9489,-1.3458,-
2015-03-23,600122.SH,8.9026,9.0316,8.843,8.9026,402463.9,1691,88.2648,85.7337,93.3272,85.6499,78.1817,70.1226,3582975.1161,0.0,0.0212,-1.0197,-1.1257,-1.1066,-0.9751,-1.1785,^
2015-03-24,600122.SH,8.9224,9.0018,8.4758,8.7835,517646.3,1692,85.2328,85.5667,84.565,73.5192,73.103,67.8249,4546746.276,-0.0158,0.0599,-1.1142,-1.3061,-1.237,-1.3429,-0.7281,-
2015-03-25,600122.SH,8.7636,8.8926,8.5353,8.7338,393433.53,1693,80.6296,83.921,74.0467,68.6503,71.0033,66.8708,3436169.7643,-0.0034,0.0409,-1.3161,-1.4306,-1.3946,-1.4077,-1.4258,v
2015-03-26,600122.SH,8.7537,9.2996,8.6346,9.0911,602456.15,1694,81.3468,83.0629,77.9147,80.0489,76.3343,70.0332,5476989.1053,0.0371,0.0731,-1.418,-1.3275,-1.2846,-1.4486,-0.47,^
2015-03-27,600122.SH,8.982,9.2202,8.8926,9.0812,437646.15,1695,80.3737,82.1665,76.7881,79.0927,75.9124,69.8404,3974352.2174,0.0109,0.0361,-1.4117,-1.3895,-1.4003,-1.3999,-1.394,-
2015-03-30,600122.SH,9.111,9.2003,9.0415,9.1011,365994.01,1696,80.2492,81.5274,77.6926,79.6783,76.2008,70.0135,3330948.0844,-0.0011,0.0174,-1.3941,-1.4776,-1.4962,-1.355,-1.956,-
2015-03-31,600122.SH,9.0812,9.1606,8.982,9.0117,416295.85,1697,75.1835,79.4128,66.725,69.2266,71.9772,68.1791,3751533.3114,-0.0077,0.0198,-1.5107,-1.6569,-1.6651,-1.4907,-1.8659,v
2015-04-01,600122.SH,8.982,9.1408,8.9621,9.1011,370617.48,1698,75.4238,78.0831,70.1051,73.4118,73.575,69.0259,3373026.7472,0.0131,0.0196,-1.7066,-1.7822,-1.8542,-1.6276,-2.2706,-
2015-04-02,600122.SH,9.1805,10.0141,9.111,10.0141,1004976.81,1699,83.6159,79.9274,90.9928,90.0295,83.8403,75.8695,10063938.273,0.0832,0.0902,-1.7856,-1.5497,-1.6786,-1.716,1.7035,-
2015-04-03,600122.SH,10.1729,10.9173,10.034,10.7883,1046203.08,1700,87.316,82.3902,97.1676,93.9055,88.1123,79.8156,11286752.688,0.057,0.0819,-1.4997,-1.3269,-1.4309,-1.4338,2.0701,-
2015-04-07,600122.SH,10.7883,11.0563,10.6295,10.8578,762638.93,1701,88.9194,84.5666,97.6249,94.1505,88.4123,80.1201,8280580.9742,0.0064,0.0393,-1.3426,-1.4446,-1.5301,-1.2715,0.5572,-
2015-04-08,600122.SH,10.8181,11.5227,10.6692,11.1257,655885.16,1702,88.0309,85.7214,92.65,95.0675,89.524,81.2575,7297181.5246,0.0276,0.0767,-1.4852,-1.47,-1.4603,-1.3905,-0.024,^
